"order_number","order_date","delivery_date","quantity","customer_country","customer_state","product_category"
373009,"2016-01-08","2016-01-19",4,"United Kingdom","Kent","Music, Movies and Audio Books"
374012,"2016-01-09","2016-01-20",1,"United States","Indiana","Cameras and camcorders"
374012,"2016-01-09","2016-01-20",1,"United States","Indiana","Cameras and camcorders"
374012,"2016-01-09","2016-01-20",5,"United States","Indiana","Home Appliances"
374012,"2016-01-09","2016-01-20",1,"United States","Indiana","Home Appliances"
375000,"2016-01-10","2016-01-18",1,"United Kingdom","West Lindsey","Music, Movies and Audio Books"
375000,"2016-01-10","2016-01-18",7,"United Kingdom","West Lindsey","Audio"
375000,"2016-01-10","2016-01-18",1,"United Kingdom","West Lindsey","Cell phones"
377006,"2016-01-12","2016-01-20",1,"United Kingdom","Lincoln","Cell phones"
377006,"2016-01-12","2016-01-20",1,"United Kingdom","Lincoln","Music, Movies and Audio Books"
377006,"2016-01-12","2016-01-20",1,"United Kingdom","Lincoln","Cell phones"
377006,"2016-01-12","2016-01-20",1,"United Kingdom","Lincoln","Home Appliances"
377006,"2016-01-12","2016-01-20",1,"United Kingdom","Lincoln","Cameras and camcorders"
377006,"2016-01-12","2016-01-20",1,"United Kingdom","Lincoln","TV and Video"
379002,"2016-01-14","2016-01-24",2,"Italy","Caserta","Audio"
379002,"2016-01-14","2016-01-24",2,"Italy","Caserta","Computers"
379002,"2016-01-14","2016-01-24",3,"Italy","Caserta","Music, Movies and Audio Books"
379004,"2016-01-14","2016-01-27",2,"Canada","Alberta","TV and Video"
381002,"2016-01-16","2016-01-26",1,"United States","Texas","Cameras and camcorders"
381002,"2016-01-16","2016-01-26",1,"United States","Texas","Cell phones"
381002,"2016-01-16","2016-01-26",2,"United States","Texas","Cell phones"
381012,"2016-01-16","2016-01-23",2,"United States","South Dakota","Games and Toys"
381012,"2016-01-16","2016-01-23",7,"United States","South Dakota","Games and Toys"
381013,"2016-01-16","2016-01-21",1,"United States","Florida","Music, Movies and Audio Books"
381013,"2016-01-16","2016-01-21",8,"United States","Florida","Computers"
384004,"2016-01-19","2016-01-28",2,"United States","Wisconsin","Cameras and camcorders"
384004,"2016-01-19","2016-01-28",6,"United States","Wisconsin","Music, Movies and Audio Books"
385000,"2016-01-20","2016-01-25",8,"United Kingdom","Angus","Music, Movies and Audio Books"
385000,"2016-01-20","2016-01-25",5,"United Kingdom","Angus","Cell phones"
385000,"2016-01-20","2016-01-25",3,"United Kingdom","Angus","TV and Video"
386001,"2016-01-21","2016-01-30",2,"United States","Maryland","Home Appliances"
386001,"2016-01-21","2016-01-30",1,"United States","Maryland","Music, Movies and Audio Books"
386005,"2016-01-21","2016-02-02",1,"Canada","British Columbia","Music, Movies and Audio Books"
386005,"2016-01-21","2016-02-02",1,"Canada","British Columbia","TV and Video"
386011,"2016-01-21","2016-01-28",6,"Germany","Freistaat Bayern","Audio"
386011,"2016-01-21","2016-01-28",2,"Germany","Freistaat Bayern","Audio"
386011,"2016-01-21","2016-01-28",3,"Germany","Freistaat Bayern","Computers"
387000,"2016-01-22","2016-01-26",2,"Canada","Quebec","Games and Toys"
387000,"2016-01-22","2016-01-26",3,"Canada","Quebec","Music, Movies and Audio Books"
387000,"2016-01-22","2016-01-26",1,"Canada","Quebec","Music, Movies and Audio Books"
387000,"2016-01-22","2016-01-26",6,"Canada","Quebec","Audio"
388001,"2016-01-23","2016-01-27",1,"United States","Florida","Music, Movies and Audio Books"
388004,"2016-01-23","2016-01-31",1,"Italy","Macerata","Home Appliances"
388004,"2016-01-23","2016-01-31",3,"Italy","Macerata","Computers"
388013,"2016-01-23","2016-01-30",1,"United States","New York","Music, Movies and Audio Books"
390002,"2016-01-25","2016-02-06",3,"United States","California","Computers"
390002,"2016-01-25","2016-02-06",2,"United States","California","Music, Movies and Audio Books"
390002,"2016-01-25","2016-02-06",1,"United States","California","Music, Movies and Audio Books"
390002,"2016-01-25","2016-02-06",2,"United States","California","Games and Toys"
390002,"2016-01-25","2016-02-06",1,"United States","California","Computers"
391001,"2016-01-26","2016-02-02",1,"Canada","Alberta","Home Appliances"
392003,"2016-01-27","2016-02-04",8,"United States","Missouri","TV and Video"
392004,"2016-01-27","2016-02-01",3,"Germany","Baden-Württemberg","Home Appliances"
392004,"2016-01-27","2016-02-01",2,"Germany","Baden-Württemberg","Cell phones"
392004,"2016-01-27","2016-02-01",2,"Germany","Baden-Württemberg","Cell phones"
392004,"2016-01-27","2016-02-01",1,"Germany","Baden-Württemberg","Games and Toys"
392004,"2016-01-27","2016-02-01",1,"Germany","Baden-Württemberg","Home Appliances"
393004,"2016-01-28","2016-02-09",3,"United States","North Carolina","Computers"
393004,"2016-01-28","2016-02-09",1,"United States","North Carolina","Music, Movies and Audio Books"
393010,"2016-01-28","2016-02-06",7,"Canada","British Columbia","Music, Movies and Audio Books"
393010,"2016-01-28","2016-02-06",2,"Canada","British Columbia","Cell phones"
394000,"2016-01-29","2016-02-09",1,"United States","Indiana","Cameras and camcorders"
394000,"2016-01-29","2016-02-09",4,"United States","Indiana","Audio"
397002,"2016-02-01","2016-02-09",2,"United States","North Carolina","Music, Movies and Audio Books"
397002,"2016-02-01","2016-02-09",2,"United States","North Carolina","Audio"
397002,"2016-02-01","2016-02-09",2,"United States","North Carolina","Home Appliances"
397004,"2016-02-01","2016-02-10",2,"United States","California","TV and Video"
397004,"2016-02-01","2016-02-10",1,"United States","California","Computers"
397004,"2016-02-01","2016-02-10",4,"United States","California","Music, Movies and Audio Books"
399004,"2016-02-03","2016-02-11",3,"Netherlands","Gelderland","Cameras and camcorders"
400006,"2016-02-04","2016-02-10",3,"United States","Pennsylvania","Cameras and camcorders"
400010,"2016-02-04","2016-02-10",8,"France","Île-de-France","Games and Toys"
400010,"2016-02-04","2016-02-10",3,"France","Île-de-France","Games and Toys"
400010,"2016-02-04","2016-02-10",3,"France","Île-de-France","Cameras and camcorders"
402010,"2016-02-06","2016-02-13",3,"United States","Tennessee","Cameras and camcorders"
404005,"2016-02-08","2016-02-16",1,"Canada","Manitoba","Computers"
404005,"2016-02-08","2016-02-16",5,"Canada","Manitoba","Cell phones"
405005,"2016-02-09","2016-02-15",8,"Australia","New South Wales","Music, Movies and Audio Books"
406001,"2016-02-10","2016-02-15",5,"United States","Massachusetts","Games and Toys"
406001,"2016-02-10","2016-02-15",2,"United States","Massachusetts","Audio"
406001,"2016-02-10","2016-02-15",3,"United States","Massachusetts","Cell phones"
406001,"2016-02-10","2016-02-15",3,"United States","Massachusetts","Computers"
406001,"2016-02-10","2016-02-15",1,"United States","Massachusetts","Home Appliances"
406001,"2016-02-10","2016-02-15",1,"United States","Massachusetts","Computers"
406001,"2016-02-10","2016-02-15",2,"United States","Massachusetts","Computers"
406007,"2016-02-10","2016-02-20",2,"United States","Florida","Music, Movies and Audio Books"
407002,"2016-02-11","2016-02-16",8,"United States","Michigan","Cameras and camcorders"
407010,"2016-02-11","2016-02-14",1,"United States","Michigan","Music, Movies and Audio Books"
407010,"2016-02-11","2016-02-14",6,"United States","Michigan","Home Appliances"
407010,"2016-02-11","2016-02-14",2,"United States","Michigan","Games and Toys"
409001,"2016-02-13","2016-02-17",2,"United States","California","Home Appliances"
409001,"2016-02-13","2016-02-17",7,"United States","California","TV and Video"
409001,"2016-02-13","2016-02-17",3,"United States","California","Music, Movies and Audio Books"
409001,"2016-02-13","2016-02-17",3,"United States","California","Home Appliances"
409020,"2016-02-13","2016-02-24",1,"Canada","Ontario","Home Appliances"
409021,"2016-02-13","2016-02-22",1,"Italy","Milano","Music, Movies and Audio Books"
409022,"2016-02-13","2016-02-25",4,"United Kingdom","South Oxfordshire","Home Appliances"
411002,"2016-02-15","2016-02-25",4,"United States","North Dakota","Music, Movies and Audio Books"
412002,"2016-02-16","2016-02-21",4,"United States","West Virginia","TV and Video"
412005,"2016-02-16","2016-02-21",1,"United States","Michigan","Cameras and camcorders"
412005,"2016-02-16","2016-02-21",7,"United States","Michigan","Home Appliances"
412005,"2016-02-16","2016-02-21",1,"United States","Michigan","Computers"
412005,"2016-02-16","2016-02-21",1,"United States","Michigan","Cameras and camcorders"
413011,"2016-02-17","2016-02-26",5,"Canada","Ontario","Music, Movies and Audio Books"
413011,"2016-02-17","2016-02-26",1,"Canada","Ontario","Music, Movies and Audio Books"
413011,"2016-02-17","2016-02-26",7,"Canada","Ontario","Music, Movies and Audio Books"
414015,"2016-02-18","2016-02-25",2,"United States","Michigan","Home Appliances"
414016,"2016-02-18","2016-02-28",1,"Germany","Hamburg","Games and Toys"
414016,"2016-02-18","2016-02-28",4,"Germany","Hamburg","Games and Toys"
415012,"2016-02-19","2016-02-27",1,"Canada","Quebec","Home Appliances"
415012,"2016-02-19","2016-02-27",3,"Canada","Quebec","Computers"
415012,"2016-02-19","2016-02-27",2,"Canada","Quebec","Computers"
415012,"2016-02-19","2016-02-27",1,"Canada","Quebec","Music, Movies and Audio Books"
415016,"2016-02-19","2016-03-01",1,"Australia","New South Wales","Games and Toys"
415016,"2016-02-19","2016-03-01",3,"Australia","New South Wales","Music, Movies and Audio Books"
416000,"2016-02-20","2016-02-27",1,"United States","Washington","Cameras and camcorders"
416000,"2016-02-20","2016-02-27",1,"United States","Washington","TV and Video"
416001,"2016-02-20","2016-02-26",3,"United Kingdom","Orkney Islands","Computers"
416001,"2016-02-20","2016-02-26",2,"United Kingdom","Orkney Islands","Games and Toys"
416007,"2016-02-20","2016-03-01",3,"Germany","Schleswig-Holstein","TV and Video"
416007,"2016-02-20","2016-03-01",8,"Germany","Schleswig-Holstein","Computers"
416009,"2016-02-20","2016-02-28",2,"United States","California","Home Appliances"
416009,"2016-02-20","2016-02-28",5,"United States","California","Home Appliances"
416009,"2016-02-20","2016-02-28",1,"United States","California","Audio"
416012,"2016-02-20","2016-03-03",2,"Germany","Rheinland-Pfalz","Home Appliances"
416015,"2016-02-20","2016-02-29",1,"Italy","Salerno","TV and Video"
416015,"2016-02-20","2016-02-29",7,"Italy","Salerno","Computers"
416015,"2016-02-20","2016-02-29",6,"Italy","Salerno","Computers"
416015,"2016-02-20","2016-02-29",2,"Italy","Salerno","TV and Video"
416024,"2016-02-20","2016-03-02",4,"United States","North Carolina","Computers"
418001,"2016-02-22","2016-03-03",3,"United Kingdom","North Yorkshire","Computers"
418001,"2016-02-22","2016-03-03",1,"United Kingdom","North Yorkshire","Home Appliances"
418001,"2016-02-22","2016-03-03",3,"United Kingdom","North Yorkshire","Games and Toys"
418002,"2016-02-22","2016-03-01",1,"United States","Pennsylvania","Computers"
418002,"2016-02-22","2016-03-01",3,"United States","Pennsylvania","Games and Toys"
418002,"2016-02-22","2016-03-01",1,"United States","Pennsylvania","Games and Toys"
418007,"2016-02-22","2016-02-28",1,"Italy","Ascoli Piceno","Home Appliances"
418007,"2016-02-22","2016-02-28",4,"Italy","Ascoli Piceno","Home Appliances"
418009,"2016-02-22","2016-02-29",4,"United States","New York","Cameras and camcorders"
418012,"2016-02-22","2016-02-26",8,"United Kingdom","Wiltshire","Music, Movies and Audio Books"
418012,"2016-02-22","2016-02-26",3,"United Kingdom","Wiltshire","Cameras and camcorders"
419004,"2016-02-23","2016-02-26",1,"United Kingdom","Llandrindod Wells","Computers"
419004,"2016-02-23","2016-02-26",4,"United Kingdom","Llandrindod Wells","Cell phones"
419004,"2016-02-23","2016-02-26",1,"United Kingdom","Llandrindod Wells","Audio"
419005,"2016-02-23","2016-03-02",6,"United Kingdom","Cornwall","Music, Movies and Audio Books"
420003,"2016-02-24","2016-03-03",3,"Germany","Freistaat Bayern","Cameras and camcorders"
420003,"2016-02-24","2016-03-03",7,"Germany","Freistaat Bayern","Audio"
420003,"2016-02-24","2016-03-03",3,"Germany","Freistaat Bayern","Cameras and camcorders"
420003,"2016-02-24","2016-03-03",2,"Germany","Freistaat Bayern","Audio"
420003,"2016-02-24","2016-03-03",1,"Germany","Freistaat Bayern","Computers"
420003,"2016-02-24","2016-03-03",7,"Germany","Freistaat Bayern","Computers"
420003,"2016-02-24","2016-03-03",4,"Germany","Freistaat Bayern","Games and Toys"
420012,"2016-02-24","2016-03-02",1,"United States","Massachusetts","Home Appliances"
421008,"2016-02-25","2016-03-03",8,"Canada","Ontario","Games and Toys"
421008,"2016-02-25","2016-03-03",1,"Canada","Ontario","Audio"
421014,"2016-02-25","2016-03-01",1,"United States","Maryland","Cameras and camcorders"
421014,"2016-02-25","2016-03-01",2,"United States","Maryland","Audio"
421014,"2016-02-25","2016-03-01",7,"United States","Maryland","Audio"
423003,"2016-02-27","2016-03-15",1,"United States","Virginia","Audio"
423003,"2016-02-27","2016-03-15",6,"United States","Virginia","Home Appliances"
423003,"2016-02-27","2016-03-15",2,"United States","Virginia","TV and Video"
423003,"2016-02-27","2016-03-15",1,"United States","Virginia","Cameras and camcorders"
423003,"2016-02-27","2016-03-15",2,"United States","Virginia","Music, Movies and Audio Books"
423009,"2016-02-27","2016-03-03",2,"United States","Illinois","Cameras and camcorders"
423013,"2016-02-27","2016-03-10",2,"Canada","British Columbia","Home Appliances"
423014,"2016-02-27","2016-03-04",2,"United States","Maryland","Cell phones"
423015,"2016-02-27","2016-03-01",2,"United States","Florida","Music, Movies and Audio Books"
424000,"2016-02-28","2016-03-05",5,"United States","Illinois","Home Appliances"
424000,"2016-02-28","2016-03-05",1,"United States","Illinois","Home Appliances"
425000,"2016-02-29","2016-03-15",2,"United States","New York","Cameras and camcorders"
425000,"2016-02-29","2016-03-15",2,"United States","New York","Music, Movies and Audio Books"
425000,"2016-02-29","2016-03-15",3,"United States","New York","TV and Video"
425000,"2016-02-29","2016-03-15",1,"United States","New York","Cell phones"
425001,"2016-02-29","2016-03-10",1,"Germany","Baden-Württemberg","TV and Video"
426001,"2016-03-01","2016-03-10",6,"United Kingdom","Scottish Borders","Audio"
426004,"2016-03-01","2016-03-07",3,"United States","Iowa","TV and Video"
426007,"2016-03-01","2016-03-10",2,"United States","Florida","Computers"
429006,"2016-03-04","2016-03-17",2,"United Kingdom","Isle of Wight","Audio"
429006,"2016-03-04","2016-03-17",3,"United Kingdom","Isle of Wight","Home Appliances"
430003,"2016-03-05","2016-03-11",2,"United States","Washington","Home Appliances"
430003,"2016-03-05","2016-03-11",1,"United States","Washington","Audio"
430003,"2016-03-05","2016-03-11",3,"United States","Washington","Home Appliances"
430005,"2016-03-05","2016-03-13",2,"United States","Michigan","Computers"
430013,"2016-03-05","2016-03-10",8,"United States","Minnesota","Home Appliances"
432003,"2016-03-07","2016-03-14",1,"United States","Minnesota","Music, Movies and Audio Books"
432003,"2016-03-07","2016-03-14",4,"United States","Minnesota","Home Appliances"
433004,"2016-03-08","2016-03-20",2,"United States","Pennsylvania","Computers"
433004,"2016-03-08","2016-03-20",1,"United States","Pennsylvania","Music, Movies and Audio Books"
434001,"2016-03-09","2016-03-11",1,"United States","Iowa","TV and Video"
434010,"2016-03-09","2016-03-18",3,"United Kingdom","Highland","Music, Movies and Audio Books"
434010,"2016-03-09","2016-03-18",4,"United Kingdom","Highland","TV and Video"
435003,"2016-03-10","2016-03-18",2,"United States","Georgia","Games and Toys"
435003,"2016-03-10","2016-03-18",2,"United States","Georgia","Cameras and camcorders"
435003,"2016-03-10","2016-03-18",5,"United States","Georgia","Music, Movies and Audio Books"
435005,"2016-03-10","2016-03-17",2,"United States","Massachusetts","TV and Video"
437002,"2016-03-12","2016-03-21",1,"United Kingdom","Plymouth","Cell phones"
437002,"2016-03-12","2016-03-21",1,"United Kingdom","Plymouth","TV and Video"
437002,"2016-03-12","2016-03-21",1,"United Kingdom","Plymouth","Cameras and camcorders"
437002,"2016-03-12","2016-03-21",1,"United Kingdom","Plymouth","Music, Movies and Audio Books"
437002,"2016-03-12","2016-03-21",2,"United Kingdom","Plymouth","Computers"
442000,"2016-03-17","2016-03-22",5,"United Kingdom","Ceredigion","Computers"
484002,"2016-04-28","2016-05-08",9,"United States","California","TV and Video"
484002,"2016-04-28","2016-05-08",7,"United States","California","Home Appliances"
484008,"2016-04-28","2016-05-01",1,"United States","Indiana","TV and Video"
484008,"2016-04-28","2016-05-01",3,"United States","Indiana","Cameras and camcorders"
484008,"2016-04-28","2016-05-01",2,"United States","Indiana","Home Appliances"
486000,"2016-04-30","2016-05-08",1,"United States","Virginia","TV and Video"
486000,"2016-04-30","2016-05-08",5,"United States","Virginia","Home Appliances"
486001,"2016-04-30","2016-05-08",10,"United States","Pennsylvania","Cameras and camcorders"
486001,"2016-04-30","2016-05-08",1,"United States","Pennsylvania","Cameras and camcorders"
486001,"2016-04-30","2016-05-08",1,"United States","Pennsylvania","Cameras and camcorders"
486010,"2016-04-30","2016-05-04",4,"United States","Minnesota","Home Appliances"
490009,"2016-05-04","2016-05-09",4,"Australia","Western Australia","Music, Movies and Audio Books"
490009,"2016-05-04","2016-05-09",1,"Australia","Western Australia","Music, Movies and Audio Books"
491003,"2016-05-05","2016-05-15",2,"United States","Tennessee","Audio"
491003,"2016-05-05","2016-05-15",6,"United States","Tennessee","Computers"
491003,"2016-05-05","2016-05-15",2,"United States","Tennessee","TV and Video"
491003,"2016-05-05","2016-05-15",3,"United States","Tennessee","Cell phones"
491003,"2016-05-05","2016-05-15",3,"United States","Tennessee","Cell phones"
491003,"2016-05-05","2016-05-15",2,"United States","Tennessee","Cameras and camcorders"
491003,"2016-05-05","2016-05-15",5,"United States","Tennessee","Music, Movies and Audio Books"
493001,"2016-05-07","2016-05-14",2,"Germany","Rheinland-Pfalz","Music, Movies and Audio Books"
493001,"2016-05-07","2016-05-14",1,"Germany","Rheinland-Pfalz","Cell phones"
493001,"2016-05-07","2016-05-14",1,"Germany","Rheinland-Pfalz","Audio"
497008,"2016-05-11","2016-05-20",6,"United States","Nevada","TV and Video"
497008,"2016-05-11","2016-05-20",6,"United States","Nevada","Computers"
497008,"2016-05-11","2016-05-20",3,"United States","Nevada","Computers"
497008,"2016-05-11","2016-05-20",7,"United States","Nevada","Cell phones"
497008,"2016-05-11","2016-05-20",1,"United States","Nevada","Computers"
497008,"2016-05-11","2016-05-20",1,"United States","Nevada","Music, Movies and Audio Books"
497009,"2016-05-11","2016-05-19",1,"Canada","Ontario","Home Appliances"
497009,"2016-05-11","2016-05-19",7,"Canada","Ontario","Games and Toys"
497009,"2016-05-11","2016-05-19",2,"Canada","Ontario","Cameras and camcorders"
497009,"2016-05-11","2016-05-19",1,"Canada","Ontario","Computers"
497009,"2016-05-11","2016-05-19",2,"Canada","Ontario","Audio"
498002,"2016-05-12","2016-05-18",8,"United States","Michigan","Music, Movies and Audio Books"
498008,"2016-05-12","2016-05-18",1,"Canada","British Columbia","Audio"
498008,"2016-05-12","2016-05-18",1,"Canada","British Columbia","Computers"
498008,"2016-05-12","2016-05-18",2,"Canada","British Columbia","Home Appliances"
498008,"2016-05-12","2016-05-18",3,"Canada","British Columbia","Music, Movies and Audio Books"
498010,"2016-05-12","2016-05-18",7,"United States","New York","TV and Video"
498010,"2016-05-12","2016-05-18",2,"United States","New York","Music, Movies and Audio Books"
498011,"2016-05-12","2016-05-19",1,"Italy","Mantova","Music, Movies and Audio Books"
500007,"2016-05-14","2016-05-23",1,"United States","Ohio","Music, Movies and Audio Books"
500007,"2016-05-14","2016-05-23",8,"United States","Ohio","Cell phones"
500007,"2016-05-14","2016-05-23",3,"United States","Ohio","TV and Video"
500009,"2016-05-14","2016-05-28",8,"United States","Arizona","TV and Video"
500012,"2016-05-14","2016-05-16",1,"Australia","New South Wales","Home Appliances"
500012,"2016-05-14","2016-05-16",8,"Australia","New South Wales","Games and Toys"
500012,"2016-05-14","2016-05-16",3,"Australia","New South Wales","Music, Movies and Audio Books"
503003,"2016-05-17","2016-05-29",7,"United States","Oregon","Home Appliances"
503003,"2016-05-17","2016-05-29",1,"United States","Oregon","Music, Movies and Audio Books"
506000,"2016-05-20","2016-05-29",1,"United States","Illinois","Audio"
506002,"2016-05-20","2016-05-25",6,"United Kingdom","Dumfriesshire","Music, Movies and Audio Books"
506005,"2016-05-20","2016-05-27",5,"United Kingdom","Ceredigion","Computers"
506005,"2016-05-20","2016-05-27",4,"United Kingdom","Ceredigion","Cell phones"
506007,"2016-05-20","2016-05-25",3,"United States","Alaska","Home Appliances"
507001,"2016-05-21","2016-06-01",1,"Canada","Ontario","Audio"
507001,"2016-05-21","2016-06-01",3,"Canada","Ontario","Cameras and camcorders"
507003,"2016-05-21","2016-06-01",4,"Germany","Freistaat Bayern","Cell phones"
509000,"2016-05-23","2016-06-01",4,"United States","Maine","TV and Video"
510000,"2016-05-24","2016-05-31",1,"France","Centre","Home Appliances"
511005,"2016-05-25","2016-06-05",9,"United States","New Jersey","Audio"
511005,"2016-05-25","2016-06-05",1,"United States","New Jersey","Computers"
511005,"2016-05-25","2016-06-05",2,"United States","New Jersey","Games and Toys"
511005,"2016-05-25","2016-06-05",7,"United States","New Jersey","TV and Video"
511005,"2016-05-25","2016-06-05",7,"United States","New Jersey","Games and Toys"
512000,"2016-05-26","2016-06-01",1,"Germany","Freistaat Bayern","Audio"
512000,"2016-05-26","2016-06-01",8,"Germany","Freistaat Bayern","Music, Movies and Audio Books"
514006,"2016-05-28","2016-06-02",1,"France","Provence-Alpes-Côte d'Azur","Computers"
514006,"2016-05-28","2016-06-02",2,"France","Provence-Alpes-Côte d'Azur","TV and Video"
514006,"2016-05-28","2016-06-02",7,"France","Provence-Alpes-Côte d'Azur","Music, Movies and Audio Books"
514006,"2016-05-28","2016-06-02",1,"France","Provence-Alpes-Côte d'Azur","Games and Toys"
514011,"2016-05-28","2016-06-04",2,"United States","California","Games and Toys"
514011,"2016-05-28","2016-06-04",3,"United States","California","Computers"
514013,"2016-05-28","2016-06-07",1,"United Kingdom","Angus","Computers"
518000,"2016-06-01","2016-06-08",3,"United States","Rhode Island","Music, Movies and Audio Books"
518000,"2016-06-01","2016-06-08",5,"United States","Rhode Island","Audio"
518008,"2016-06-01","2016-06-09",1,"United States","Pennsylvania","Computers"
518008,"2016-06-01","2016-06-09",2,"United States","Pennsylvania","Audio"
518010,"2016-06-01","2016-06-08",1,"United Kingdom","Aberdeenshire","Cell phones"
518010,"2016-06-01","2016-06-08",1,"United Kingdom","Aberdeenshire","Cell phones"
518010,"2016-06-01","2016-06-08",1,"United Kingdom","Aberdeenshire","Cell phones"
518010,"2016-06-01","2016-06-08",8,"United Kingdom","Aberdeenshire","Games and Toys"
518010,"2016-06-01","2016-06-08",2,"United Kingdom","Aberdeenshire","Music, Movies and Audio Books"
518010,"2016-06-01","2016-06-08",2,"United Kingdom","Aberdeenshire","Music, Movies and Audio Books"
519004,"2016-06-02","2016-06-07",9,"Germany","Freistaat Sachsen","TV and Video"
519004,"2016-06-02","2016-06-07",2,"Germany","Freistaat Sachsen","Cell phones"
519004,"2016-06-02","2016-06-07",9,"Germany","Freistaat Sachsen","Cameras and camcorders"
520004,"2016-06-03","2016-06-10",8,"United States","Florida","Games and Toys"
520004,"2016-06-03","2016-06-10",3,"United States","Florida","Home Appliances"
520004,"2016-06-03","2016-06-10",3,"United States","Florida","Computers"
520004,"2016-06-03","2016-06-10",1,"United States","Florida","Home Appliances"
520005,"2016-06-03","2016-06-11",2,"United States","New Jersey","Home Appliances"
520005,"2016-06-03","2016-06-11",3,"United States","New Jersey","Audio"
520005,"2016-06-03","2016-06-11",2,"United States","New Jersey","Cameras and camcorders"
520005,"2016-06-03","2016-06-11",1,"United States","New Jersey","Cameras and camcorders"
521002,"2016-06-04","2016-06-10",3,"Germany","Hamburg","Audio"
521002,"2016-06-04","2016-06-10",3,"Germany","Hamburg","Computers"
521002,"2016-06-04","2016-06-10",6,"Germany","Hamburg","Cell phones"
521005,"2016-06-04","2016-06-09",1,"Germany","Freistaat Bayern","Audio"
521006,"2016-06-04","2016-06-16",10,"Canada","Nova Scotia","Audio"
521006,"2016-06-04","2016-06-16",3,"Canada","Nova Scotia","Cell phones"
521006,"2016-06-04","2016-06-16",3,"Canada","Nova Scotia","TV and Video"
521006,"2016-06-04","2016-06-16",1,"Canada","Nova Scotia","Music, Movies and Audio Books"
523005,"2016-06-06","2016-06-16",2,"United States","Colorado","Cell phones"
524000,"2016-06-07","2016-06-15",5,"United States","Tennessee","Cell phones"
524000,"2016-06-07","2016-06-15",2,"United States","Tennessee","Music, Movies and Audio Books"
